,geoid,Under 18,18 to 24 years,25-45 years,45-65 years,65 older,Male,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Mixed Races,Estimate Management business science and arts,Estimate Service,Estimate Sales and office,Estimate Natural resources construction and maintenance,Estimate Production transportation and material moving,Median_income,Total
0,14000US27053000101,861,309,962,786,280,1528,1441,937,48,517,0,74,362,541,331,354,48,312,63516,3198
1,14000US27053000102,1510,557,1681,1145,560,2710,2330,1525,12,715,0,62,1618,525,618,650,214,420,41691,5453
2,14000US27053000300,621,286,1163,947,290,1670,2383,428,7,200,0,54,470,1018,332,461,51,243,74250,3307
3,14000US27053000601,997,353,1748,1339,492,2336,3978,430,58,161,0,9,586,1331,380,697,159,354,68720,4929
4,14000US27053000603,500,147,1127,746,325,1529,2586,32,63,23,0,96,90,936,247,437,57,170,82984,2845
5,14000US27053001100,423,122,958,486,112,1067,1559,203,17,24,0,148,300,681,240,227,27,130,69250,2101
6,14000US27053001700,414,270,1017,415,114,1153,1363,565,6,26,0,188,164,438,346,289,76,203,45819,2230
7,14000US27053002200,653,209,338,238,77,579,303,593,94,372,0,137,32,97,122,104,20,132,29777,1515
8,14000US27053002400,312,311,1047,453,278,1292,1798,426,32,48,0,11,172,884,359,293,28,116,55882,2401
9,14000US27053002700,925,292,946,441,281,1520,726,1421,93,412,0,25,416,422,274,323,65,266,45000,2885
10,14000US27053003200,529,165,547,423,190,922,572,1090,0,57,0,16,238,353,344,204,39,90,66982,1854
11,14000US27053003300,1034,344,772,368,102,1308,268,1512,88,513,0,127,224,253,247,227,77,279,35395,2620
12,14000US27053003800,183,3501,1854,318,104,3183,4551,115,172,702,0,128,584,2058,1185,777,102,328,35681,5960
13,14000US27053005901,343,326,753,825,706,1555,1660,1075,7,74,0,96,82,464,316,116,20,151,18838,2953
14,14000US27053005902,1115,415,1184,561,93,1811,1075,1558,129,15,0,330,522,331,543,228,107,204,24760,3368
15,14000US27053006800,309,733,2248,483,106,1999,2766,768,21,114,0,145,130,1489,758,448,58,307,35305,3879
16,14000US27053007700,623,842,2304,470,68,2343,2775,1067,0,219,0,89,314,1959,370,533,77,254,56722,4307
17,14000US27053007801,637,228,723,306,30,1004,701,835,0,37,0,297,108,220,349,118,70,207,31222,1924
18,14000US27053008100,171,581,1776,601,227,1715,2917,121,13,171,0,10,248,1679,384,425,46,154,62646,3356
19,14000US27053008200,586,668,1549,799,516,1991,2256,1133,30,104,0,334,522,769,626,550,48,445,30378,4118
20,14000US27053008300,650,310,640,329,98,1163,677,603,53,13,0,566,230,338,361,123,10,149,49180,2027
21,14000US27053008400,809,279,1213,538,123,1594,1204,847,7,50,0,719,270,412,503,288,102,277,51250,2962
22,14000US27053008500,1659,458,2321,519,169,2539,2321,1061,41,40,0,1534,258,853,783,424,268,330,49489,5126
23,14000US27053009500,789,171,1235,583,250,1627,1450,666,19,20,0,651,444,610,382,229,169,199,70485,3028
24,14000US27053009600,977,203,1639,751,193,1974,2750,599,47,106,0,58,406,1063,384,372,115,230,70574,3763
25,14000US27053010600,703,143,740,944,384,1500,2705,58,0,54,0,6,182,1112,146,346,70,18,138144,2914
26,14000US27053010700,737,137,588,778,305,1182,2232,40,7,55,0,27,368,1003,129,218,18,48,123281,2545
27,14000US27053011000,819,151,1348,1018,406,1864,2867,353,290,43,0,82,214,1368,322,352,58,151,79375,3742
28,14000US27053011703,1103,124,1334,1190,535,1946,3816,53,161,34,0,0,444,1732,227,401,77,69,121413,4286
29,14000US27053011704,773,113,1060,913,360,1553,2877,164,0,44,0,19,230,1168,240,421,66,121,112563,3219
30,14000US27053011800,1048,238,1704,1307,596,2343,4410,165,0,67,0,52,398,2067,103,526,96,135,99792,4893
31,14000US27053011998,692,297,1288,1057,789,1932,3332,399,34,61,0,12,570,1398,283,452,60,209,69735,4123
32,14000US27053012001,1348,258,2095,1497,706,3026,4928,203,0,401,0,218,308,2034,237,720,246,290,100375,5904
33,14000US27053012003,1521,297,2199,1184,558,2932,3514,1101,0,233,0,489,844,1227,477,681,193,306,59609,5759
34,14000US27053012101,846,196,1001,787,207,1583,1969,377,18,56,0,314,606,743,440,345,172,71,57137,3037
35,14000US27053012102,411,269,1032,760,333,1357,2197,259,77,70,0,89,226,736,297,437,124,219,75000,2805
36,14000US27053020101,866,103,857,972,575,1745,2732,93,162,98,0,8,560,1050,242,266,84,110,105541,3373
37,14000US27053020102,484,86,589,493,584,1055,2146,5,0,39,0,0,92,633,150,287,35,45,70238,2236
38,14000US27053020200,2398,672,2513,1449,613,3626,2751,3038,19,841,0,758,476,1206,858,911,362,648,41329,7645
39,14000US27053020301,802,166,791,521,293,1324,1171,768,2,448,0,75,218,342,346,391,87,169,60500,2573
40,14000US27053020302,784,108,742,578,305,1109,930,1036,21,451,0,20,118,389,224,248,106,197,52604,2517
41,14000US27053020303,831,389,1000,776,424,1732,1579,572,0,1015,0,181,146,374,378,370,109,548,65000,3420
42,14000US27053020304,1117,415,1165,822,362,1776,1399,708,0,1084,0,465,450,435,562,381,137,472,56667,3881
43,14000US27053020400,1299,499,1763,977,593,2393,2547,1335,38,671,0,471,138,823,519,585,145,516,57476,5131
44,14000US27053020500,1016,178,1169,887,355,1844,2291,577,0,539,0,77,242,486,228,375,206,414,58555,3605
45,14000US27053020600,641,82,584,493,327,1010,1191,386,0,425,0,16,218,237,174,210,54,251,53405,2127
46,14000US27053020700,891,331,1295,1137,572,2181,3420,433,28,131,0,111,206,906,484,536,134,299,63454,4226
47,14000US27053020801,475,72,646,563,231,1048,1337,467,2,80,0,57,88,438,111,215,122,138,56833,1987
48,14000US27053020804,561,238,1055,888,434,1539,2191,814,0,77,0,38,112,676,403,332,107,403,57408,3176
49,14000US27053020902,495,78,718,620,332,1140,2062,32,0,89,0,10,100,647,124,286,90,160,89153,2243
50,14000US27053020903,491,174,1038,841,429,1453,2468,40,0,228,0,133,208,681,169,495,145,217,73051,2973
51,14000US27053021001,1271,655,1934,1610,741,3103,4607,1293,0,137,0,0,348,1444,690,880,117,476,64927,6211
52,14000US27053021002,348,73,670,476,392,897,1465,385,30,0,0,3,152,412,221,291,73,117,64815,1959
53,14000US27053021100,412,107,710,491,234,922,1561,283,0,54,0,0,112,527,115,279,97,107,67292,1954
54,14000US27053021200,1051,222,1461,1245,568,2160,3731,261,49,194,0,109,406,1251,456,469,107,218,83675,4547
55,14000US27053021300,868,182,1701,888,1009,2298,3286,730,28,95,0,313,392,834,529,442,309,236,41438,4648
56,14000US27053021400,788,168,1279,796,286,1712,2391,420,6,83,0,0,834,798,268,549,137,194,71488,3317
57,14000US27053021501,845,315,1008,957,1145,1885,3083,674,9,133,0,153,436,640,366,395,84,276,52143,4270
58,14000US27053021502,1060,318,1087,613,766,1705,2025,1345,8,81,0,207,356,448,617,343,103,203,36667,3844
59,14000US27053021503,1362,342,1255,1319,767,2397,3468,1242,9,120,0,0,412,1035,320,685,145,318,50714,5045
60,14000US27053021504,742,223,1055,908,596,1732,2762,367,7,223,0,93,144,846,389,496,84,266,67368,3524
61,14000US27053021505,907,345,1353,1043,750,2165,3138,707,100,159,0,4,580,1098,412,592,164,250,77872,4398
62,14000US27053021601,729,271,1310,1244,834,2019,3447,506,0,236,0,23,352,1588,395,517,24,238,94632,4388
63,14000US27053021602,1121,414,1594,1419,1403,2692,5069,561,82,59,0,14,332,1576,297,591,179,141,60882,5951
64,14000US27053021700,956,25,1193,1951,1127,2425,4732,86,15,201,0,50,336,1682,300,419,62,332,117820,5252
65,14000US27053021800,441,59,560,717,538,1078,2054,74,0,87,0,0,200,811,42,272,34,48,102222,2315
66,14000US27053021900,513,312,806,1058,769,1709,3037,104,45,155,12,0,210,1109,215,471,79,168,100109,3458
67,14000US27053022000,132,111,1022,363,150,825,1607,23,27,76,0,0,90,894,110,282,34,111,80714,1778
68,14000US27053022101,435,185,1275,576,235,1445,1889,352,11,223,0,173,116,1022,158,415,61,183,90952,2706
69,14000US27053022102,545,127,1022,696,409,1187,2273,377,0,74,13,12,100,896,308,276,65,64,61908,2799
70,14000US27053022200,698,234,1790,1333,539,2360,4155,164,2,124,0,33,232,1716,276,475,267,305,77612,4594
71,14000US27053022301,394,173,477,663,698,1212,2097,165,2,24,0,0,234,652,140,283,57,60,70121,2405
72,14000US27053022302,751,215,1012,798,477,1493,2561,451,3,83,0,27,256,778,199,393,117,333,50903,3253
73,14000US27053022400,839,213,1261,900,595,1887,2921,539,0,176,0,87,170,1218,358,391,54,176,73438,3808
74,14000US27053022700,970,276,1779,987,399,2234,3215,668,0,103,0,278,294,1447,504,525,134,259,72458,4411
75,14000US27053022801,521,97,456,669,359,1024,1893,0,32,80,0,6,182,721,112,237,21,35,141458,2102
76,14000US27053022802,451,482,1413,585,522,1494,2967,138,9,154,0,159,52,1303,322,503,17,151,54655,3453
77,14000US27053022901,769,390,1806,972,1045,2377,4397,184,13,233,0,82,146,2120,98,773,14,132,77533,4982
78,14000US27053022902,423,50,427,544,200,832,1542,13,5,0,0,14,140,615,105,167,12,33,127500,1644
79,14000US27053023000,640,437,2240,960,441,2466,3520,723,34,327,0,24,180,1622,518,602,66,392,66461,4718
80,14000US27053023100,642,42,409,587,208,951,1698,0,0,114,0,11,130,621,65,191,18,30,149762,1888
81,14000US27053023200,1174,403,2878,1029,669,3009,3294,1115,38,1308,0,303,190,2057,717,494,149,390,65757,6153
82,14000US27053023300,1226,369,2061,1538,690,2980,4481,1090,0,92,0,14,414,1609,559,722,321,395,53355,5884
83,14000US27053023400,1573,594,1779,1401,916,3042,3719,1619,92,210,0,421,404,960,572,703,156,563,50898,6263
84,14000US27053023501,802,205,947,1041,870,1878,3559,36,0,161,0,0,218,1147,296,351,55,159,73750,3865
85,14000US27053023502,1234,133,1276,1808,1219,2669,5404,53,12,104,0,15,164,1860,312,661,29,125,113906,5670
86,14000US27053023600,1107,219,565,1315,590,1866,3598,0,22,103,0,0,146,1211,91,452,9,73,250001,3796
87,14000US27053023700,1386,140,914,1553,959,2328,4495,60,0,264,0,0,266,1495,170,677,82,38,132986,4952
88,14000US27053023801,1671,234,1258,1580,664,2763,5018,119,5,149,0,24,184,1635,205,568,57,173,130938,5407
89,14000US27053023802,815,95,876,637,395,1254,2253,93,0,267,0,113,184,889,95,384,63,43,105481,2818
90,14000US27053023901,1053,187,607,1197,616,1820,3504,0,8,97,0,0,102,996,156,581,7,96,133750,3660
91,14000US27053023902,579,119,331,616,442,1070,1755,162,0,107,0,0,126,619,54,180,0,38,193882,2087
92,14000US27053023903,652,125,419,846,1207,1587,2628,156,8,269,0,0,376,810,163,289,9,63,79803,3249
93,14000US27053024003,1113,190,2006,1193,632,2343,3161,69,15,1373,0,416,200,1685,406,429,95,106,83665,5134
94,14000US27053024004,409,179,950,793,1900,1833,3101,328,4,585,0,162,102,1215,51,301,58,85,50159,4231
95,14000US27053024005,115,148,764,477,768,904,1882,72,15,171,0,35,194,614,193,457,24,92,56928,2272
96,14000US27053024006,522,100,346,610,529,985,1892,86,0,71,0,36,44,684,51,225,7,36,137548,2107
97,14000US27053024100,688,157,1076,901,494,1651,2582,273,0,95,0,107,518,1052,239,465,129,204,76629,3316
98,14000US27053024200,556,135,985,950,364,1584,2670,151,0,0,0,13,312,892,237,391,88,219,101097,2990
99,14000US27053024300,784,748,2322,634,341,2522,3161,405,0,751,0,324,376,1408,800,704,34,276,61462,4829
100,14000US27053024400,427,207,1088,760,1525,1689,2924,601,20,143,0,255,128,753,296,391,103,287,39970,4007
101,14000US27053024500,427,152,650,651,405,1132,1876,17,6,292,0,24,140,596,243,277,72,154,84531,2285
102,14000US27053024600,962,283,1297,959,484,1841,2705,492,21,135,14,553,130,885,564,582,77,223,53608,3985
103,14000US27053024700,748,100,1017,742,581,1668,2435,283,7,113,0,232,236,701,271,475,90,181,71217,3188
104,14000US27053024801,554,181,814,569,263,1208,1535,272,53,204,0,168,298,432,315,327,114,226,63500,2381
105,14000US27053024802,656,318,780,632,404,1472,1506,456,52,45,0,562,338,475,540,418,37,78,48716,2790
106,14000US27053024901,310,72,346,233,120,562,550,216,19,224,0,22,100,221,105,145,50,74,73654,1081
107,14000US27053024902,712,149,893,603,252,1464,1820,236,4,269,0,217,126,529,279,266,102,245,75469,2609
108,14000US27053024903,788,152,817,508,256,1316,1554,454,11,78,0,235,378,383,292,246,91,184,59773,2521
109,14000US27053025100,305,423,928,796,385,1637,1812,598,0,184,0,233,20,542,453,529,36,227,57540,2837
110,14000US27053025201,1630,379,1781,1144,392,2833,2599,1084,48,458,0,1005,264,648,747,622,212,674,53773,5326
111,14000US27053025205,1032,279,1438,1337,735,2444,3284,516,0,464,0,323,468,995,517,633,188,355,72906,4821
112,14000US27053025301,475,159,494,876,752,1389,2453,150,0,51,0,5,194,675,189,313,43,192,71858,2756
113,14000US27053025302,817,345,1181,1130,788,2027,2880,690,26,261,0,168,472,587,590,604,125,381,46703,4261
114,14000US27053025401,948,411,1245,1059,604,2323,2562,596,31,450,0,461,334,566,659,586,349,340,70388,4267
115,14000US27053025403,1092,606,1176,956,490,2068,2847,508,191,225,5,151,786,918,419,485,94,376,54716,4320
116,14000US27053025601,404,127,753,641,566,1058,2055,40,7,200,0,0,378,652,142,371,42,140,73947,2491
117,14000US27053025603,589,275,1021,1035,781,1888,3217,109,8,203,0,44,240,901,243,500,126,139,84167,3701
118,14000US27053025605,558,215,1222,792,699,1735,2798,263,7,330,0,0,176,970,219,503,93,293,73182,3486
119,14000US27053025701,1348,622,1735,2121,1263,3469,5668,804,0,113,0,366,276,2106,649,794,236,390,75354,7089
120,14000US27053025702,978,145,1050,1302,1108,2187,3663,485,19,129,0,65,444,1012,363,511,133,267,75197,4583
121,14000US27053025801,425,366,909,778,597,1420,2266,292,1,179,0,205,264,874,305,448,139,157,77375,3075
122,14000US27053025802,428,128,614,694,442,1245,2057,24,1,69,0,28,254,626,113,328,89,135,99231,2306
123,14000US27053025803,596,241,848,875,600,1483,2412,374,2,166,0,33,346,587,318,597,137,183,62007,3160
124,14000US27053025805,466,142,472,769,830,1346,2575,12,1,19,0,0,144,458,216,223,86,91,68068,2679
125,14000US27053025903,942,278,1276,1892,1429,2671,5045,167,0,403,11,43,296,1856,461,777,84,198,86779,5817
126,14000US27053025905,575,89,546,997,1344,1819,3222,82,7,175,0,11,108,939,88,399,22,94,102391,3551
127,14000US27053025906,1256,456,1809,1886,892,3126,4991,153,0,416,0,40,1398,1933,547,1004,115,418,81389,6299
128,14000US27053025907,892,283,931,1564,1082,2038,4204,84,78,228,3,40,230,1218,280,752,88,265,78831,4752
129,14000US27053026005,970,464,879,1256,462,2091,3069,382,0,268,168,28,232,1052,216,671,31,191,94333,4031
130,14000US27053026006,620,170,900,804,435,1410,2485,289,1,78,0,21,110,852,133,490,62,75,66830,2929
131,14000US27053026007,1069,451,1457,1207,699,2389,3838,762,0,151,0,34,196,1577,328,699,93,257,71900,4883
132,14000US27053026013,1083,292,1096,1597,493,2354,4115,1,23,355,0,25,84,1611,308,507,90,188,129097,4561
133,14000US27053026014,1265,320,1123,1752,686,2427,4463,198,0,243,0,24,436,1692,247,627,88,200,123949,5146
134,14000US27053026015,1251,262,1398,1708,736,2433,4485,208,60,404,0,53,290,1942,274,592,114,101,115781,5355
135,14000US27053026016,1526,322,1968,2236,991,3469,5678,641,0,545,0,62,234,2201,553,1033,136,191,101402,7043
136,14000US27053026018,1834,418,1868,2344,956,3876,5397,1,0,1579,0,14,858,2752,290,913,42,144,156422,7420
137,14000US27053026019,1558,357,2697,1320,182,3310,3003,760,0,1829,0,304,436,1836,505,560,171,383,72459,6114
138,14000US27053026020,1277,161,1617,940,1057,2363,3419,1179,0,285,0,109,120,1366,290,594,74,185,77475,5052
139,14000US27053026021,942,292,815,1617,466,2037,3695,20,6,276,0,39,192,1390,200,535,24,121,142333,4132
140,14000US27053026022,2206,426,1534,2475,593,3756,5900,42,0,1226,0,0,132,2601,334,794,69,102,185481,7234
141,14000US27053026101,758,169,760,945,777,1536,3013,221,12,27,0,0,272,868,153,424,120,140,97461,3409
142,14000US27053026103,574,169,579,904,564,1318,2392,53,0,195,0,0,300,865,89,351,69,171,100147,2790
143,14000US27053026104,630,253,1535,1035,782,1831,2980,1023,0,205,0,27,0,1453,403,761,43,125,65625,4235
144,14000US27053026201,953,161,642,1168,510,1733,3273,50,0,6,13,17,150,909,125,380,99,130,115109,3434
145,14000US27053026202,658,105,519,970,576,1294,2615,69,0,40,0,0,208,820,165,332,34,85,118295,2828
146,14000US27053026205,724,136,807,1099,502,1444,3089,11,10,46,0,55,114,1071,247,367,79,123,115294,3268
147,14000US27053026206,600,172,617,1121,944,1636,3291,0,0,103,0,0,120,1032,199,377,55,88,94659,3454
148,14000US27053026207,935,174,861,1123,740,1875,3434,179,22,79,0,0,238,982,293,452,161,132,84522,3833
149,14000US27053026208,690,222,606,1008,575,1611,2686,51,20,134,0,36,348,862,123,473,33,170,96181,3101
150,14000US27053026301,732,142,1036,1052,842,1932,3561,44,0,138,0,20,82,1052,133,627,41,191,120093,3804
151,14000US27053026302,753,123,691,1164,670,1674,3314,22,0,16,0,0,98,906,289,288,113,131,105156,3401
152,14000US27053026402,918,338,2501,1417,1107,3185,4732,610,0,740,0,0,398,2121,502,741,121,281,57058,6281
153,14000US27053026403,501,246,921,794,835,1569,2567,263,15,387,0,54,22,950,230,272,80,177,65125,3297
154,14000US27053026404,1049,140,1342,1621,1259,2595,5074,122,28,115,0,43,58,2084,209,619,33,114,125827,5411
155,14000US27053026505,605,187,997,1034,747,1826,3073,170,0,226,0,0,202,1141,228,479,43,144,98828,3570
156,14000US27053026507,995,152,1696,1257,788,2253,4288,89,81,344,0,16,140,1607,323,811,96,291,77628,4888
157,14000US27053026508,829,190,1098,1547,1070,2179,4379,120,0,113,0,34,176,1722,215,696,74,106,99671,4734
158,14000US27053026509,956,270,1063,1656,573,2117,4120,113,0,60,0,75,300,1733,282,511,68,112,136674,4518
159,14000US27053026510,588,255,1020,1068,648,1473,3039,222,0,129,0,22,334,1091,219,544,151,149,72315,3579
160,14000US27053026511,878,509,1334,935,204,2049,2523,974,0,220,0,17,252,893,440,522,122,382,63009,3860
161,14000US27053026512,997,455,1609,2028,1123,3296,5489,165,36,303,3,143,146,1840,395,769,88,367,86023,6212
162,14000US27053026514,820,366,2110,951,582,2489,3787,122,0,685,0,0,470,1780,277,711,168,206,69908,4829
163,14000US27053026605,920,176,600,1172,755,1649,3076,32,6,456,0,0,106,1130,115,429,35,82,118665,3623
164,14000US27053026606,1364,284,1295,1446,688,2512,4555,156,0,274,0,0,184,1605,297,538,106,163,120405,5077
165,14000US27053026609,621,133,625,950,501,1448,2434,11,194,104,0,33,108,740,228,255,93,244,87485,2830
166,14000US27053026610,1052,268,1051,1415,844,2336,3936,231,66,109,0,80,416,1172,116,625,84,93,107472,4630
167,14000US27053026611,1080,502,1255,1361,763,2288,3936,293,0,294,0,0,876,1670,180,626,61,249,76915,4961
168,14000US27053026612,2959,492,3249,2815,1139,5019,8236,494,61,1528,25,32,556,3859,443,1280,200,251,122549,10654
169,14000US27053026613,3103,527,2542,2509,989,4920,5980,1051,71,2241,0,0,654,2983,263,1178,28,277,163313,9670
170,14000US27053026702,421,162,674,704,770,1235,2440,155,0,47,21,27,82,424,178,417,83,282,52930,2731
171,14000US27053026706,786,168,1079,1194,649,1878,3564,106,8,87,0,20,182,923,205,591,58,282,100434,3876
172,14000US27053026707,945,209,1480,1615,556,2425,4372,72,38,153,0,108,124,1416,361,749,241,313,96353,4805
173,14000US27053026708,1491,274,1424,1801,879,2915,5032,347,92,238,0,20,280,1286,377,844,230,333,75000,5869
174,14000US27053026710,2195,604,2830,2735,1305,4580,7835,654,0,996,0,35,298,2904,532,1342,176,538,91493,9669
175,14000US27053026711,683,121,970,940,402,1554,2740,163,1,15,0,65,264,596,194,548,85,320,75404,3116
176,14000US27053026712,731,175,950,928,594,1651,2798,306,32,80,0,18,288,858,345,407,91,171,75078,3378
177,14000US27053026713,762,281,1327,1460,596,2069,3964,184,0,122,0,11,290,1527,294,613,193,202,91618,4426
178,14000US27053026714,2578,425,2552,2949,1580,4592,8508,825,32,573,0,19,254,2970,579,1160,252,363,105513,10084
179,14000US27053026715,5259,637,4268,4672,1179,7724,12857,583,0,2028,0,97,900,5615,620,1896,123,385,145995,16015
